,c,y,Circumstances,OLS,Ctree,Trafo
409,GEO,2016,Mother_Edu,23.6996631,26.191706,17.78741107
410,GEO,2016,Father_Edu,21.73976845,23.88527277,18.12376617
411,GHA,2017,Sex,2.027649199,2.684400015,3.218970229
412,GHA,2013,Sex,3.069109067,4.083654137,3.684468857
413,GHA,2013,Mother_Edu,9.959737628,9.780087354,11.80633017
414,GHA,2017,Mother_Edu,10.07972304,10.2122983,13.34695962
415,GHA,2017,Ethnicity,15.12832394,15.67260905,14.5380046
416,GHA,2013,Ethnicity,16.65732787,17.29610068,15.63810562
417,GHA,2013,Father_Edu,14.65140799,14.37821546,16.0062566
418,GHA,2017,Father_Occ,14.21937818,13.70840088,16.0083291
419,GHA,2017,Father_Edu,13.29067273,13.88696526,16.07404192
